# xi_n [rad/s] | epsilon(i xi_n)
2.428716103903690000e+14 3.176487481733499408e+03
4.857432207807380000e+14 7.992928967692861306e+02
7.286148311711070000e+14 3.590364743417792397e+02
9.714864415614760000e+14 2.049067051521383576e+02
1.214358051951845000e+15 1.335249527998905421e+02
1.457229662342214000e+15 9.470819581410954413e+01
1.700101272732583000e+15 7.126279901578902809e+01
1.942972883122952000e+15 5.600779902469522398e+01
2.185844493513320750e+15 4.551347080198124218e+01
2.428716103903690000e+15 3.797406219803359306e+01
2.671587714294059000e+15 3.236558587429070144e+01
2.914459324684428000e+15 2.807236065113354684e+01
3.157330935074797000e+15 2.470622313845307971e+01
3.400202545465166000e+15 2.201265282127855727e+01
3.643074155855534500e+15 1.981914689202194424e+01
3.885945766245904000e+15 1.800543613844993018e+01
4.128817376636273500e+15 1.648558901634149976e+01
4.371688987026641500e+15 1.519687677985056240e+01
4.614560597417011000e+15 1.409263196878674407e+01
4.857432207807380000e+15 1.313754453534709477e+01
5.100303818197749000e+15 1.230448969700805151e+01
5.343175428588118000e+15 1.157234330692432778e+01
5.586047038978486000e+15 1.092444865231521689e+01
5.828918649368856000e+15 1.034752192285307792e+01
6.071790259759226000e+15 9.830858633668299262e+00
6.314661870149594000e+15 9.365750048190118804e+00
6.557533480539963000e+15 8.945048418822349134e+00
6.800405090930332000e+15 8.562839195888763300e+00
7.043276701320700000e+15 8.214191135913017305e+00
7.286148311711069000e+15 7.894963830008775219e+00
7.529019922101439000e+15 7.601658034600121461e+00
7.771891532491808000e+15 7.331298243037512208e+00
8.014763142882177000e+15 7.081339780675037332e+00
8.257634753272547000e+15 6.849594724324784778e+00
8.500506363662916000e+15 6.634172395724999838e+00
8.743377974053283000e+15 6.433431229599769097e+00
8.986249584443654000e+15 6.245939586893173967e+00
9.229121194834022000e+15 6.070443653232370451e+00
9.471992805224392000e+15 5.905840987568350187e+00
9.714864415614760000e+15 5.751158605615819042e+00
9.957736026005128000e+15 5.605534725124790008e+00
1.020060763639549800e+16 5.468203485217062010e+00
1.044347924678586800e+16 5.338482094519785726e+00
1.068635085717623600e+16 5.215759973212317213e+00
1.092922246756660600e+16 5.099489540160865531e+00
1.117209407795697200e+16 4.989178363819400275e+00
1.141496568834734400e+16 4.884382448836610990e+00
1.165783729873771200e+16 4.784700472566585816e+00
1.190070890912807800e+16 4.689768819389006360e+00
1.214358051951845200e+16 4.599257287770066149e+00
1.238645212990881800e+16 4.512865366769572617e+00
1.262932374029918800e+16 4.430318996325947722e+00
1.287219535068955800e+16 4.351367739983512450e+00
1.311506696107992600e+16 4.275782310432029831e+00
1.335793857147029400e+16 4.203352397828129305e+00
1.360081018186066400e+16 4.133884758772657264e+00
1.384368179225103200e+16 4.067201530351784555e+00
1.408655340264140000e+16 4.003138739070563723e+00
1.432942501303177200e+16 3.941544979021298634e+00
1.457229662342213800e+16 3.882280237400596246e+00
1.481516823381251000e+16 3.825214848650601240e+00
1.505803984420287800e+16 3.770228561159154168e+00
1.530091145459324800e+16 3.717209702697002349e+00
1.554378306498361600e+16 3.666054432668653718e+00
1.578665467537398600e+16 3.616666070864656746e+00
1.602952628576435400e+16 3.568954493774247894e+00
1.627239789615472400e+16 3.522835590687555474e+00
1.651526950654509400e+16 3.478230772817789251e+00
1.675814111693546000e+16 3.435066529532789126e+00
1.700101272732583200e+16 3.393274026523903864e+00
1.724388433771619800e+16 3.352788741376996562e+00
1.748675594810656600e+16 3.313550132560397987e+00
1.772962755849693600e+16 3.275501338321210376e+00
1.797249916888730800e+16 3.238588902394715419e+00
1.821537077927767600e+16 3.202762523791373717e+00
1.845824238966804400e+16 3.167974828239237262e+00
1.870111400005841200e+16 3.134181159133398342e+00
1.894398561044878400e+16 3.101339386083515670e+00
1.918685722083915200e+16 3.069409729360453198e+00
1.942972883122952000e+16 3.038354598727424083e+00
1.967260044161988800e+16 3.008138445303342401e+00
1.991547205201025600e+16 2.978727625248978939e+00
2.015834366240062800e+16 2.950090274192862960e+00
2.040121527279099600e+16 2.922196191425459944e+00
2.064408688318136400e+16 2.895016732989062369e+00
2.088695849357173600e+16 2.868524712878582683e+00
2.112983010396210000e+16 2.842694311646387195e+00
2.137270171435247200e+16 2.817500991773684849e+00
2.161557332474284400e+16 2.792921419232773594e+00
2.185844493513321200e+16 2.768933390719702903e+00
2.210131654552357600e+16 2.745515766086107590e+00
2.234418815591394400e+16 2.722648405543179440e+00
2.258705976630431600e+16 2.700312111250232849e+00
2.282993137669468800e+16 2.678488572935837198e+00
2.307280298708505600e+16 2.657160317231284097e+00
2.331567459747542400e+16 2.636310660424920904e+00
2.355854620786579200e+16 2.615923664371618163e+00
2.380141781825615600e+16 2.595984095314971096e+00
2.404428942864653600e+16 2.576477385400801179e+00
2.428716103903690400e+16 2.557389596679537913e+00
